iter	Passed	Remaining
0	3	312
1	5	252
2	7	230
3	8	215
4	13	261
5	15	240
6	17	229
7	19	222
8	21	217
9	23	210
10	25	206
11	27	202
12	30	204
13	33	202
14	34	198
15	36	192
16	38	186
17	39	181
18	41	176
19	42	169
20	44	166
21	46	163
22	48	160
23	49	157
24	51	154
25	53	152
26	55	149
27	56	145
28	58	143
29	60	141
30	62	138
31	64	136
32	66	135
33	68	133
34	70	131
35	72	128
36	74	127
37	76	124
38	77	121
39	79	119
40	82	118
41	82	114
42	84	112
43	86	110
44	88	107
45	90	106
46	92	104
47	94	102
48	96	100
49	97	97
50	100	96
51	102	94
52	104	92
53	105	90
54	106	87
55	108	85
56	110	83
57	111	80
58	113	78
59	115	76
60	117	74
61	118	72
62	120	70
63	122	69
64	124	66
65	127	65
66	129	63
67	131	61
68	132	59
69	134	57
70	136	55
71	138	53
72	139	51
73	141	49
74	143	47
75	145	45
76	147	44
77	149	42
78	151	40
79	153	38
80	154	36
81	157	34
82	159	32
83	160	30
84	162	28
85	164	26
86	167	24
87	168	23
88	170	21
89	172	19
90	174	17
91	175	15
92	177	13
93	179	11
94	181	9
95	208	8
96	210	6
97	219	4
98	220	2
99	221	0
